,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
289,108/04/08,"35,684,345","1,583,331,254",44.70,44.70,44.30,44.30,-0.50,"11,564"
290,108/04/09,"27,032,342","1,196,583,341",44.20,44.45,44.15,44.30, 0.00,"7,198"
291,108/04/10,"21,825,753","965,363,604",44.20,44.40,44.10,44.20,-0.10,"7,354"
292,108/04/11,"23,939,926","1,061,551,586",44.35,44.70,44.15,44.15,-0.05,"7,368"
293,108/04/12,"14,977,391","661,647,777",44.15,44.30,44.10,44.10,-0.05,"5,471"
294,108/04/15,"15,799,568","699,097,965",44.35,44.35,44.15,44.15,+0.05,"5,578"
295,108/04/16,"20,052,620","883,662,799",44.10,44.15,44.00,44.10,-0.05,"6,739"
296,108/04/17,"18,296,315","807,304,014",44.10,44.25,44.00,44.10, 0.00,"6,920"
297,108/04/18,"18,186,595","802,311,903",44.15,44.20,44.00,44.20,+0.10,"5,556"
298,108/04/19,"7,945,035","352,655,254",44.40,44.50,44.30,44.35,+0.15,"3,974"
299,108/04/22,"5,204,883","231,281,212",44.55,44.55,44.35,44.35, 0.00,"2,374"
300,108/04/23,"9,736,682","431,456,234",44.40,44.40,44.20,44.35, 0.00,"3,568"
301,108/04/24,"12,277,584","544,797,836",44.50,44.50,44.30,44.30,-0.05,"3,464"
302,108/04/25,"13,503,597","600,535,917",44.45,44.60,44.35,44.35,+0.05,"4,297"
303,108/04/26,"9,418,893","418,372,306",44.35,44.50,44.30,44.50,+0.15,"3,192"
304,108/04/29,"14,404,363","642,801,852",44.40,44.80,44.40,44.60,+0.10,"4,328"
305,108/05/02,"32,223,863","1,460,815,784",44.70,45.65,44.70,45.65,+0.95,"12,531"
306,108/05/03,"23,874,628","1,085,024,251",45.65,45.70,45.15,45.45,-0.20,"7,866"
307,108/05/06,"23,944,990","1,064,784,861",44.65,44.70,44.30,44.50,-0.95,"8,668"
308,108/05/07,"14,273,291","634,167,472",44.60,44.60,44.35,44.35,-0.15,"5,414"
309,108/05/08,"16,241,382","715,637,388",44.15,44.20,44.00,44.05,-0.30,"6,966"
310,108/05/09,"31,969,669","1,395,709,584",44.00,44.00,43.50,43.50,-0.55,"12,971"
311,108/05/10,"22,938,637","995,983,285",43.60,43.75,43.20,43.20,-0.30,"9,418"
312,108/05/13,"40,808,722","1,722,181,770",43.10,43.15,41.95,41.95,-1.25,"16,981"
313,108/05/14,"75,913,459","3,068,791,270",40.10,40.65,40.10,40.45,-1.50,"24,710"
314,108/05/15,"26,407,317","1,083,571,332",40.55,41.40,40.55,40.95,+0.50,"10,462"
315,108/05/16,"35,216,986","1,420,217,259",40.90,40.95,40.00,40.00,-0.95,"14,280"
316,108/05/17,"29,450,349","1,179,787,797",40.20,40.45,39.90,40.00, 0.00,"10,890"
317,108/05/20,"15,683,872","631,309,666",40.25,40.45,40.10,40.20,+0.20,"5,628"
318,108/05/21,"29,091,331","1,194,642,965",40.50,41.50,40.10,41.50,+1.30,"12,211"
319,108/05/22,"17,579,285","722,115,897",41.25,41.25,40.90,41.15,-0.35,"6,487"
320,108/05/23,"12,965,650","530,538,365",41.00,41.15,40.80,41.00,-0.15,"5,521"
321,108/05/24,"18,894,722","770,684,021",41.00,41.20,40.60,40.60,-0.40,"8,160"
322,108/05/27,"9,377,954","382,201,410",40.65,41.00,40.50,40.75,+0.15,"3,864"
323,108/05/28,"87,709,120","3,542,658,992",40.75,40.90,40.35,40.35,-0.40,"6,088"
324,108/05/29,"13,430,157","541,902,880",40.35,40.50,40.30,40.30,-0.05,"5,035"
325,108/05/30,"13,702,149","554,515,478",40.30,40.60,40.30,40.50,+0.20,"4,331"
326,108/06/03,"9,168,320","374,761,014",40.85,41.20,40.50,41.05,+0.25,"3,644"
327,108/06/04,"15,870,958","658,016,289",41.65,41.65,41.25,41.45,+0.40,"5,164"
328,108/06/05,"12,700,018","524,385,162",41.55,41.60,41.10,41.10,-0.35,"4,752"
329,108/06/06,"11,864,080","483,974,929",41.00,41.00,40.65,40.75,-0.35,"4,242"
330,108/06/10,"17,046,063","703,520,954",41.30,41.45,41.00,41.35,+0.60,"5,135"
331,108/06/11,"24,054,699","1,006,377,567",41.40,42.10,41.40,42.10,+0.75,"9,490"
332,108/06/12,"11,539,520","483,387,890",42.05,42.10,41.75,41.90,-0.20,"3,979"
333,108/06/13,"14,464,736","600,492,561",41.85,41.85,41.35,41.65,-0.25,"4,369"
334,108/06/14,"9,787,650","405,230,600",41.55,41.55,41.30,41.30,-0.35,"3,745"
335,108/06/17,"9,791,042","408,120,625",41.30,41.90,41.25,41.65,+0.35,"3,644"
